product_link,title,reviews,price,stars,img_link,availability
https://www.amazon.com/Apple-iPad-Space-Gray-Refurbished/dp/B00TREI0F2/ref=sr_1_38?keywords=ipad+pro&qid=1694599342&sr=8-38,"Apple iPad Air 2, 64 GB, Space Gray (Renewed)","4,976 ratings",$143.12,4.4 out of 5 stars,https://m.media-amazon.com/images/I/71AfLgrG19L.__AC_SX300_SY300_QL70_FMwebp_.jpg,Only 2 left in stock - order soon.
https://www.amazon.com/Microsoft-Lightweight-Processor-Multi-Tasking-Platinum/dp/B0B9Q2ZB5T/ref=sr_1_39?keywords=ipad+pro&qid=1694599342&sr=8-39,"Microsoft Surface Pro 9 (2022), 13"" 2-in-1 Tablet & Laptop, Thin & Lightweight, Intel 12th Gen i5 Fast Processor for Multi-Tasking, 8GB RAM, 256GB Storage with Windows 11, Platinum",433 ratings,,4.4 out of 5 stars,https://m.media-amazon.com/images/I/51iazuN-+TL._AC_SY300_SX300_.jpg,Only 1 left in stock - order soon
https://www.amazon.com/SAMSUNG-Android-Included-Connectivity-SM-T733NLGFXAR/dp/B09971JCM3/ref=sr_1_40?keywords=ipad+pro&qid=1694599342&sr=8-40,"SAMSUNG Galaxy Tab S7 FE 12.4” 256GB WiFi Android Tablet, Large Screen, S Pen Included, Multi Device Connectivity, Long Lasting Battery, US Version, 2021, Mystic Green","5,707 ratings",,4.7 out of 5 stars,https://m.media-amazon.com/images/I/91kBKFvBKhS.__AC_SY300_SX300_QL70_FMwebp_.jpg,Only 12 left in stock - order soon
https://www.amazon.com/2017-iPad-32GB-Wi-Fi-Cellular/dp/B078J5RGN4/ref=sr_1_41?keywords=ipad+pro&qid=1694599342&sr=8-41,"2017 Apple iPad (9.7 -inch, Wi-Fi + Cellular, 32GB)- Silver (Renewed","2,682 ratings",$159.00,4.5 out of 5 stars,https://m.media-amazon.com/images/I/61SJ+boKIbL._AC_SY300_SX300_.jpg,Only 2 left in stock - order soon.
https://www.amazon.com/Apple-Tablet-256GB-Wi-FI-Refurbished/dp/B01KAKS84E/ref=sr_1_42?keywords=ipad+pro&qid=1694599342&sr=8-42,"Apple iPad Pro 12.9in Tablet (256GB Wi-FI, Space Gray)(Renewed)","1,635 ratings",$532.00,4.3 out of 5 stars,https://m.media-amazon.com/images/I/61GO97DP3VL.__AC_SY300_SX300_QL70_FMwebp_.jpg,Currently unavailable
https://www.amazon.com/2022-Apple-iPad-10-9-inch-Wi-Fi/dp/B0BTR8W14K/ref=sr_1_43?keywords=ipad+pro&qid=1694599342&sr=8-43,"2022 Apple iPad (10.9-inch, Wi-Fi, 64GB) - Silver (Renewed)",139 ratings,$396.99,4.5 out of 5 stars,https://m.media-amazon.com/images/I/61goypdjAYL.__AC_SX300_SY300_QL70_FMwebp_.jpg,Currently unavailable
https://www.amazon.com/Logitech-Combo-Touch-iPad-11-inch/dp/B0937Z63SR/ref=sr_1_44?keywords=ipad+pro&qid=1694599342&sr=8-44,"Logitech Combo Touch iPad Pro 11-inch (1st, 2nd, 3rd, 4th gen - 2018, 2020, 2021, 2022) Keyboard Case - Detachable Backlit Keyboard, Click-Anywhere Trackpad - Oxford Gray; USA Layout","1,831 ratings",,4.5 out of 5 stars,https://m.media-amazon.com/images/I/7157JTjtfFS.__AC_SX300_SY300_QL70_FMwebp_.jpg,Only 1 left in stock - order soon.
https://www.amazon.com/Apple-2022-10-9-inch-Wi-Fi-256GB/dp/B0BJLCX2Q2/ref=sr_1_45?keywords=ipad+pro&qid=1694599342&sr=8-45,"Apple iPad (10th Generation): with A14 Bionic chip, 10.9-inch Liquid Retina Display, 256GB, Wi-Fi 6, 12MP front/12MP Back Camera, Touch ID, All-Day Battery Life – Silver","5,609 ratings",,4.8 out of 5 stars,https://m.media-amazon.com/images/I/61goypdjAYL.__AC_SY445_SX342_QL70_FMwebp_.jpg,Currently unavailable
https://www.amazon.com/2017-Apple-iPad-9-7-inch-Wi-Fi/dp/B074PWW6NS/ref=sr_1_46?keywords=ipad+pro&qid=1694599342&sr=8-46,"2017 Apple iPad (9.7-inch, Wi-Fi, 32GB) - Space Gray (Renewed)","10,685 ratings",$143.00,4.6 out of 5 stars,https://m.media-amazon.com/images/I/51dBcW+NXPL._AC_SY300_SX300_.jpg,Only 1 left in stock - order soon.
https://www.amazon.com/Apple-iPad-Pro-12-9in-Gen/dp/B0BFC578CR/ref=sr_1_47?keywords=ipad+pro&qid=1694599342&sr=8-47,Apple iPad Pro 12.9in (5th Gen.) - 512GB - WiFi - Silver (Renewed Premium),,$949.99,,https://m.media-amazon.com/images/I/514bS4zwEwL.__AC_SX300_SY300_QL70_FMwebp_.jpg,Only 5 left in stock - order soon.
https://www.amazon.com/iPad-Pro-11in-3nd-Gen/dp/B0BGNY4SF8/ref=sr_1_48?keywords=ipad+pro&qid=1694599342&sr=8-48,iPad Pro 11in (3nd Gen.) - 256GB - WiFi - Space Gray (Renewed Premium),6 ratings,$749.00,3.5 out of 5 stars,https://m.media-amazon.com/images/I/81rBUAM2NpL.__AC_SX300_SY300_QL70_FMwebp_.jpg,Only 1 left in stock - order soon.
https://www.amazon.com/Apple-Wi-Fi-Space-Tablet-Refurbished/dp/B01C131J58/ref=sr_1_49?keywords=ipad+pro&qid=1694599344&sr=8-49,"Apple iPad Pro (32GB, Wi-Fi, Space Gray) 12.9in Tablet (Renewed)",403 ratings,$349.00,4.2 out of 5 stars,https://m.media-amazon.com/images/I/91X91LF4xxL.__AC_SX300_SY300_QL70_FMwebp_.jpg,Only 4 left in stock - order soon.
https://www.amazon.com/iPad-Pro-11in-3nd-Gen/dp/B0BGNY4SF8/ref=sr_1_50?keywords=ipad+pro&qid=1694599344&sr=8-50,iPad Pro 11in (3nd Gen.) - 256GB - WiFi - Space Gray (Renewed Premium),6 ratings,$749.00,3.5 out of 5 stars,https://m.media-amazon.com/images/I/81rBUAM2NpL.__AC_SX300_SY300_QL70_FMwebp_.jpg,Only 1 left in stock - order soon.
https://www.amazon.com/Apple-iPad-Pro-12-9in-Gen/dp/B0BFC6FDX7/ref=sr_1_51?keywords=ipad+pro&qid=1694599344&sr=8-51,Apple iPad Pro 12.9in (5th Gen.) - 1TB - WiFi + Cellular - Silver (Renewed Premium),,"$1,050.00",,https://m.media-amazon.com/images/I/81J5bpGahqS.__AC_SX300_SY300_QL70_FMwebp_.jpg,Only 1 left in stock - order soon.
https://www.amazon.com/Android-Octa-Core-Processor-Storage-Bluetooth/dp/B08YJYC4WN/ref=sr_1_52?keywords=ipad+pro&qid=1694599344&sr=8-52,"Tablet 10.1 inch Android 12 Tablet 2023 Latest Update Octa-Core Processor with 64GB Storage, Dual 13MP+5MP Camera, WiFi, Bluetooth, GPS, 512GB Expand Support, IPS Full HD Display (Black)","2,157 ratings",,4.2 out of 5 stars,https://m.media-amazon.com/images/I/71Mt4JAZQtL.__AC_SX300_SY300_QL70_FMwebp_.jpg,Only 1 left in stock - order soon
https://www.amazon.com/Amazon-tablet-release-Housekeeping-Intergalactic/dp/B0BLC62KB5/ref=sr_1_53?keywords=ipad+pro&qid=1694599344&sr=8-53,"Amazon Fire HD 10 Kids Pro tablet, 10.1"", 1080p Full HD, ages 6–12, 32 GB, (2021 release), named ""Best Tablet for Big Kids"" by Good Housekeeping, Intergalactic","14,497 ratings",,4.7 out of 5 stars,https://m.media-amazon.com/images/I/71h3WD4NL0S._AC_SY300_SX300_.jpg,Currently unavailable
https://www.amazon.com/Headphones-Microphone-Cancelling-Compatible-Smartphone/dp/B0B3D5D1DT/ref=sr_1_54?keywords=ipad+pro&qid=1694599344&sr=8-54,"2 Pack USB C Headphones, In-Ear Earbuds with Microphone & Remote Control Noise Cancelling Wired Type C Earphones, Compatible with Android Smartphone Galaxy S20/Note 20/Pixel 5, iPad Pro 2020",408 ratings,,3.9 out of 5 stars,https://m.media-amazon.com/images/I/61hBHl3YA6L.__AC_SX300_SY300_QL70_FMwebp_.jpg,Only 1 left in stock - order soon
